Number of newly added trainable parameters: 1800. Total number of trainable parameters: 1800
Number of newly added trainable parameters: 430. Total number of trainable parameters: 2230
⚠️ Starting from scratch...

--- 🚀 CHUNK 1/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 21689.4169
Epoch 1: Loss 21689.4169
Epoch 2: Loss 21671.9747
Epoch 3: Loss 21671.9747
Epoch 4: Loss 21700.8443
Epoch 5: Loss 21352.7197
Epoch 6: Loss 21352.7197
Epoch 7: Loss 21330.1063
Epoch 8: Loss 21330.1063
Epoch 9: Loss 21329.7332
Epoch 10: Loss 21329.7332
Epoch 11: Loss 21280.1990
Epoch 12: Loss 21280.1990
Epoch 13: Loss 21307.8724
Epoch 14: Loss 20714.2166
Epoch 15: Loss 20714.2166
Epoch 16: Loss 20869.7688
Epoch 17: Loss 21220.7231
Epoch 18: Loss 19291.3239
Epoch 19: Loss 19291.3239
Epoch 20: Loss 19451.5242
Epoch 21: Loss 19448.5029
Epoch 22: Loss 19701.2826
Epoch 23: Loss 18251.7874
Epoch 24: Loss 18251.7874
Epoch 25: Loss 18714.8842
Epoch 26: Loss 18233.7699
Epoch 27: Loss 18233.7699
Epoch 28: Loss 18260.4186
Epoch 29: Loss 18118.8171
Epoch 30: Loss 18118.8171
Epoch 31: Loss 18232.3260
Epoch 32: Loss 18025.3984
Epoch 33: Loss 18025.3984
Epoch 34: Loss 18052.6080
Epoch 35: Loss 17983.2138
Epoch 36: Loss 17983.2138
Epoch 37: Loss 18073.7794
Epoch 38: Loss 18653.8731
Epoch 39: Loss 18528.9298
Epoch 40: Loss 18420.4422
Epoch 41: Loss 19049.1775
Epoch 42: Loss 19361.8008
Epoch 43: Loss 19891.3601
Epoch 44: Loss 20277.6687
Epoch 45: Loss 19844.2894
Epoch 46: Loss 18026.2272
Epoch 47: Loss 18050.3562
Epoch 48: Loss 17941.4408
Epoch 49: Loss 17941.4408
Epoch 50: Loss 17942.2375
Epoch 51: Loss 18490.5090
Epoch 52: Loss 18000.0573
Epoch 53: Loss 18445.6204
Epoch 54: Loss 19387.2195
Epoch 55: Loss 18827.1220
Epoch 56: Loss 18905.7294
Epoch 57: Loss 18347.0917
Epoch 58: Loss 17468.3211
Epoch 59: Loss 17468.3211
Epoch 60: Loss 17471.8074
Epoch 61: Loss 16755.5192
Epoch 62: Loss 16755.5192
Epoch 63: Loss 16874.4291
Epoch 64: Loss 18039.0264
Epoch 65: Loss 18082.4809
Epoch 66: Loss 18140.7067
Epoch 67: Loss 17240.9324
Epoch 68: Loss 18554.5133
Epoch 69: Loss 18151.5561
Epoch 70: Loss 16798.6315
Epoch 71: Loss 17285.8720
Epoch 72: Loss 17248.0573
Epoch 73: Loss 17200.2082
Epoch 74: Loss 17221.8331
Epoch 75: Loss 17294.0090
Epoch 76: Loss 17198.8165
Epoch 77: Loss 16997.1882
Epoch 78: Loss 16427.2171
Epoch 79: Loss 16427.2171
Epoch 80: Loss 17323.9696
Epoch 81: Loss 17069.6225
Epoch 82: Loss 17133.7935
Epoch 83: Loss 17349.1003
Epoch 84: Loss 16262.6482
Epoch 85: Loss 16262.6482
Epoch 86: Loss 16187.9730
Epoch 87: Loss 16187.9730
Epoch 88: Loss 16296.7528
Epoch 89: Loss 16127.9973
Epoch 90: Loss 16127.9973
Epoch 91: Loss 16142.7737
Epoch 92: Loss 16214.8350
Epoch 93: Loss 16244.4292
Epoch 94: Loss 16248.3757
Epoch 95: Loss 16826.0855
Epoch 96: Loss 17268.7872
Epoch 97: Loss 16448.6648
Epoch 98: Loss 15906.9191
Epoch 99: Loss 15906.9191
Added 50 recordings. See `.recordings` for details.
📊 Chunk 1 Final Kappas - Pre: 0.6255 | Stim: 0.2728 | Post: 0.6193
⚠️ Total Kappa (1.5176) > 0.1. Continuing training...

--- 🚀 CHUNK 2/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 15897.0406
Epoch 1: Loss 15897.0406
Epoch 2: Loss 15903.3427
Epoch 3: Loss 15846.1657
Epoch 4: Loss 15846.1657
Epoch 5: Loss 15863.2705
Epoch 6: Loss 15908.2815
Epoch 7: Loss 16700.5256
Epoch 8: Loss 16929.7798
Epoch 9: Loss 16680.8268
Epoch 10: Loss 16830.1534
Epoch 11: Loss 16289.3203
Epoch 12: Loss 16267.2946
Epoch 13: Loss 14311.1497
Epoch 14: Loss 14311.1497
Epoch 15: Loss 14343.6345
Epoch 16: Loss 14730.7348
Epoch 17: Loss 14871.9197
Epoch 18: Loss 15613.4200
Epoch 19: Loss 15285.1018
Epoch 20: Loss 13673.5231
Epoch 21: Loss 13673.5231
Epoch 22: Loss 13699.1556
Epoch 23: Loss 12986.6955
Epoch 24: Loss 12986.6955
Epoch 25: Loss 13470.8196
Epoch 26: Loss 13128.0033
Epoch 27: Loss 14079.7172
Epoch 28: Loss 13477.1429
Epoch 29: Loss 12543.5363
Epoch 30: Loss 12543.5363
Epoch 31: Loss 12349.7087
Epoch 32: Loss 12349.7087
Epoch 33: Loss 12590.9738
Epoch 34: Loss 13059.1421
Epoch 35: Loss 12504.9216
Epoch 36: Loss 12917.9479
Epoch 37: Loss 13178.4592
Epoch 38: Loss 13415.7166
Epoch 39: Loss 13788.3238
Epoch 40: Loss 12293.6762
Epoch 41: Loss 12293.6762
Epoch 42: Loss 12246.7287
Epoch 43: Loss 12246.7287
Epoch 44: Loss 12257.3018
Epoch 45: Loss 12259.2951
Epoch 46: Loss 11736.7307
Epoch 47: Loss 11736.7307
Epoch 48: Loss 11741.2720
Epoch 49: Loss 12240.9552
Epoch 50: Loss 12079.4792
Epoch 51: Loss 11911.3363
Epoch 52: Loss 12152.0645
Epoch 53: Loss 12107.2198
Epoch 54: Loss 11910.3331
Epoch 55: Loss 11842.0113
Epoch 56: Loss 11760.7748
Epoch 57: Loss 11751.2874
Epoch 58: Loss 11714.8107
Epoch 59: Loss 11714.8107
Epoch 60: Loss 11714.8027
Epoch 61: Loss 11714.8027
Epoch 62: Loss 11582.2736
Epoch 63: Loss 11582.2736
Epoch 64: Loss 11727.0721
Epoch 65: Loss 11756.6928
Epoch 66: Loss 11750.9961
Epoch 67: Loss 11764.9476
Epoch 68: Loss 11740.6811
Epoch 69: Loss 12026.7348
Epoch 70: Loss 12237.1896
Epoch 71: Loss 12227.6999
Epoch 72: Loss 12368.0072
Epoch 73: Loss 11224.3536
Epoch 74: Loss 11224.3536
Epoch 75: Loss 11198.8607
Epoch 76: Loss 11198.8607
Epoch 77: Loss 10513.6336
Epoch 78: Loss 10513.6336
Epoch 79: Loss 11756.5120
Epoch 80: Loss 11474.7893
Epoch 81: Loss 11249.5599
Epoch 82: Loss 11226.1474
Epoch 83: Loss 12012.2870
Epoch 84: Loss 12083.4968
Epoch 85: Loss 10485.4965
Epoch 86: Loss 10485.4965
Epoch 87: Loss 10578.4537
Epoch 88: Loss 10420.2958
Epoch 89: Loss 10420.2958
Epoch 90: Loss 10467.8615
Epoch 91: Loss 10532.0833
Epoch 92: Loss 10534.2061
Epoch 93: Loss 10680.0110
Epoch 94: Loss 10387.4446
Epoch 95: Loss 10387.4446
Epoch 96: Loss 10552.9539
Epoch 97: Loss 9974.1235
Epoch 98: Loss 9974.1235
Epoch 99: Loss 8849.3520
Added 50 recordings. See `.recordings` for details.
📊 Chunk 2 Final Kappas - Pre: 0.4341 | Stim: 0.1748 | Post: 0.3486
⚠️ Total Kappa (0.9575) > 0.1. Continuing training...

--- 🚀 CHUNK 3/10 (100 trials) ---
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 8849.3520
Epoch 1: Loss 8849.3520
Epoch 2: Loss 10654.4583
Epoch 3: Loss 10345.1487
Epoch 4: Loss 10814.9376
Epoch 5: Loss 10300.1720
Epoch 6: Loss 10662.7985
Epoch 7: Loss 9950.7596
Epoch 8: Loss 9198.4358
Epoch 9: Loss 9999.6062
Epoch 10: Loss 9378.2801
Epoch 11: Loss 10296.0055
Epoch 12: Loss 10405.1622
Epoch 13: Loss 10221.2715
Epoch 14: Loss 10383.3050
Epoch 15: Loss 10406.6455
Epoch 16: Loss 10203.4080
Epoch 17: Loss 10650.6934
Epoch 18: Loss 10036.1904
Epoch 19: Loss 7949.0957
Epoch 20: Loss 7949.0957
Epoch 21: Loss 8039.8659
Epoch 22: Loss 7968.7182
Epoch 23: Loss 7610.5043
Epoch 24: Loss 7610.5043
Epoch 25: Loss 8009.9234
Epoch 26: Loss 8715.2315
Epoch 27: Loss 8653.3270
Epoch 28: Loss 8095.4906
Epoch 29: Loss 8487.6075
Epoch 30: Loss 7926.5028
Epoch 31: Loss 8220.7886
Epoch 32: Loss 7054.4722
Epoch 33: Loss 7054.4722
Epoch 34: Loss 6952.6086
Epoch 35: Loss 6952.6086
Epoch 36: Loss 7505.1630
Epoch 37: Loss 7735.5665
Epoch 38: Loss 7821.9077
Epoch 39: Loss 7641.2056
Epoch 40: Loss 7509.6271
Epoch 41: Loss 7394.5034
Epoch 42: Loss 7344.5962
Epoch 43: Loss 7677.7567
Epoch 44: Loss 6707.4209
Epoch 45: Loss 6707.4209
Epoch 46: Loss 7200.3307
Epoch 47: Loss 7636.2754
Epoch 48: Loss 8541.6382
Epoch 49: Loss 7612.2577
Epoch 50: Loss 7030.8078
Epoch 51: Loss 7234.1575
Epoch 52: Loss 6951.4145
Epoch 53: Loss 7955.6683
