Number of newly added trainable parameters: 1800. Total number of trainable parameters: 1800
Number of newly added trainable parameters: 430. Total number of trainable parameters: 2230
📦 Loading existing parameters from optimal_params_40hz.pkl for fine-tuning...
🚀 Fine-tuning 50-neuron NetEIG...
🎯 Target: 40Hz Gamma | Minimize Kappa | LR: 0.01
Added 50 recordings. See `.recordings` for details.
Epoch 0: Loss 5172.0362
Epoch 1: Loss 5172.0362
Epoch 2: Loss 5185.1034
Epoch 3: Loss 5204.4222
Epoch 4: Loss 5139.1682
Epoch 5: Loss 5139.1682
Epoch 6: Loss 5153.4333
Epoch 7: Loss 5151.5404
Epoch 8: Loss 5155.9893
Epoch 9: Loss 5158.6104
Epoch 10: Loss 5154.4905
Epoch 11: Loss 5165.9576
Epoch 12: Loss 5149.2278
Epoch 13: Loss 5182.2219
Epoch 14: Loss 5162.5549
Epoch 15: Loss 5195.6855
Epoch 16: Loss 5239.1408
Epoch 17: Loss 5213.4975
Epoch 18: Loss 5234.0744
Epoch 19: Loss 5198.6505
Epoch 20: Loss 5242.2729
Epoch 21: Loss 5217.0732
Epoch 22: Loss 5180.2364
Epoch 23: Loss 5195.5400
Epoch 24: Loss 5222.3524
Epoch 25: Loss 5162.7015
Epoch 26: Loss 5173.9476
Epoch 27: Loss 5199.7476
Epoch 28: Loss 5171.0847
Epoch 29: Loss 5140.7708
Epoch 30: Loss 5149.7695
Epoch 31: Loss 5198.5672
Epoch 32: Loss 5156.8714
Epoch 33: Loss 5174.8727
Epoch 34: Loss 5181.2450
Epoch 35: Loss 5154.9988
Epoch 36: Loss 5164.5197
Epoch 37: Loss 5160.1917
Epoch 38: Loss 5158.8495
Epoch 39: Loss 5153.2154
Epoch 40: Loss 5159.1244
Epoch 41: Loss 5171.4492
Epoch 42: Loss 5172.6490
Epoch 43: Loss 5193.5910
Epoch 44: Loss 5148.8141
Epoch 45: Loss 5184.1634
Epoch 46: Loss 5176.4597
Epoch 47: Loss 5138.4693
Epoch 48: Loss 5138.4693
Epoch 49: Loss 5192.5404
✅ Fine-tuning complete. Final Loss: 5192.540413632303
